"Sample" "Diphtong" "Speaker" "Percentage...." "T1" "T2" "T3" "T4"
"95" 9 "OY" "M" 60 526.762711864407 1504.93220338983 2327.62711864407 3297.16949152542
"96" 9 "OY" "M" 70 481.203389830508 1601.93220338983 2285.45762711864 3273.89830508475
"97" 9 "OY" "M" 80 413.762711864407 1779.33898305085 2270.72881355932 3320.08474576271
"98" 9 "OY" "M" 90 353.474576271186 1834.61016949153 2388.27118644068 3359.45762711864
"99" 9 "OY" "M" 100 267 1856 2468 3558
"100" 10 "aI" "M" 0 807 1328 2422 3485
"101" 10 "aI" "M" 10 755.322033898305 1317.16949152542 2419.22033898305 3435.05084745763
"102" 10 "aI" "M" 20 727.898305084746 1360.62711864407 2382.42372881356 3470.47457627119
"103" 10 "aI" "M" 30 732.135593220339 1422.93220338983 2387.5593220339 3486.96610169492
"104" 10 "aI" "M" 40 659.016949152542 1504.8813559322 2414.47457627119 3459.37288135593
"105" 10 "aI" "M" 50 564.932203389831 1568.15254237288 2402.94915254237 3471.84745762712
"106" 10 "aI" "M" 60 531.983050847458 1682.05084745763 2370.91525423729 3440.40677966102
"107" 10 "aI" "M" 70 475.864406779661 1809.16949152542 2381.27118644068 3504.4406779661
"108" 10 "aI" "M" 80 400.491525423729 1895 2398.84745762712 3536.10169491525
"109" 10 "aI" "M" 90 367.372881355932 1856.77966101695 2372.50847457627 3527.40677966102
"110" 10 "aI" "M" 100 337 1750 2214 3484
"111" 11 "aU" "M" 0 480 999 2365 3356
"112" 11 "aU" "M" 10 517.440677966102 980.033898305085 2451.30508474576 3320.37288135593
"113" 11 "aU" "M" 20 539.610169491525 978.661016949153 2585.5593220339 3287.72881355932
"114" 11 "aU" "M" 30 552.423728813559 972.559322033898 2630.57627118644 3268.05084745763
"115" 11 "aU" "M" 40 560.322033898305 954.101694915254 2645.22033898305 3279.22033898305
"116" 11 "aU" "M" 50 560 943.694915254237 2651.54237288136 3287.15254237288
"117" 11 "aU" "M" 60 560 937.084745762712 2644.08474576271 3287.01694915254
"118" 11 "aU" "M" 70 554.745762711864 922.237288135593 2639.4406779661 3286.4406779661
"119" 11 "aU" "M" 80 535.338983050847 895.203389830509 2638.35593220339 3273.84745762712
"120" 11 "aU" "M" 90 539.593220338983 893.423728813559 2611.98305084746 3281
"121" 11 "aU" "M" 100 317 867 2596 3339
"122" 12 "aI" "M" 0 497 1052 2520 3279
"123" 12 "aI" "M" 10 607.305084745763 1097.28813559322 2537.81355932203 3295.83050847458
"124" 12 "aI" "M" 20 654.610169491525 1155.28813559322 2590.54237288136 3324.35593220339
"125" 12 "aI" "M" 30 680.813559322034 1240.01694915254 2547.45762711864 3261.08474576271
"126" 12 "aI" "M" 40 680.779661016949 1433.76271186441 2337.06779661017 3194.67796610169
"127" 12 "aI" "M" 50 616.627118644068 1527.91525423729 2356.05084745763 3245.71186440678
"128" 12 "aI" "M" 60 554.305084745763 1546.57627118644 2476.22033898305 3357.22033898305
"129" 12 "aI" "M" 70 475.64406779661 1681.37288135593 2417.50847457627 3359.72881355932
"130" 12 "aI" "M" 80 406.661016949153 1755.52542372881 2444.62711864407 3197.57627118644
"131" 12 "aI" "M" 90 421.847457627119 1559.59322033898 2130.25423728814 2882.96610169492
"132" 12 "aI" "M" 100 376 1414 2150 2919
"133" 13 "OY" "M" 0 433 1016 2139 3034
"134" 13 "OY" "M" 10 518.932203389831 1002.33898305085 2869.20338983051 3360.67796610169
"135" 13 "OY" "M" 20 530.593220338983 960.169491525424 2825.45762711864 3243.01694915254
"136" 13 "OY" "M" 30 547.796610169491 993.118644067797 2678.69491525424 3134.74576271186
"137" 13 "OY" "M" 40 551.610169491525 1041.98305084746 2569.22033898305 3058.62711864407
"138" 13 "OY" "M" 50 545.779661016949 1134.96610169492 2457.84745762712 3029.20338983051
"139" 13 "OY" "M" 60 530.898305084746 1254.18644067797 2374.05084745763 3037.06779661017
"140" 13 "OY" "M" 70 487.898305084746 1378.91525423729 2268.32203389831 3006.94915254237
"141" 13 "OY" "M" 80 436.64406779661 1507.50847457627 2247.49152542373 2857.64406779661
"142" 13 "OY" "M" 90 407.016949152542 1528.38983050847 2187.64406779661 2781.03389830508
"143" 13 "OY" "M" 100 339 1387 1958 2613
"144" 14 "aI" "M" 0 466 1477 2518 3487
"145" 14 "aI" "M" 10 557.033898305085 1516.64406779661 2484.77966101695 3396.45762711864
"146" 14 "aI" "M" 20 628.796610169491 1510.66101694915 2453.61016949153 3413.42372881356
"147" 14 "aI" "M" 30 662.898305084746 1539.33898305085 2469.03389830508 3382.10169491525
"148" 14 "aI" "M" 40 671.067796610169 1561.93220338983 2474.71186440678 3325.86440677966
"149" 14 "aI" "M" 50 647.491525423729 1572.06779661017 2476.96610169492 3389.54237288136
"150" 14 "aI" "M" 60 604.406779661017 1602.57627118644 2511.77966101695 3461.57627118644
"151" 14 "aI" "M" 70 564.474576271186 1717.76271186441 2492.79661016949 3474
"152" 14 "aI" "M" 80 513.322033898305 1728.54237288136 2429.86440677966 3509.98305084746
"153" 14 "aI" "M" 90 470.508474576271 1693.98305084746 2388.08474576271 3562.94915254237
"154" 14 "aI" "M" 100 441 1665 2338 3580
"155" 15 "aI" "M" 0 530 1295 2509 3351
"156" 15 "aI" "M" 10 631.28813559322 1341.01694915254 2606 3677.83794475574
"157" 15 "aI" "M" 20 660.576271186441 1328.03389830508 2621.06779661017 3736.84745762712
"158" 15 "aI" "M" 30 683.949152542373 1319.08474576271 2541.72881355932 3115.99952435643
"159" 15 "aI" "M" 40 689 1352.8813559322 2502 3315.59322033898
"160" 15 "aI" "M" 50 675.338983050847 1424.01694915254 2485.13559322034 3299.57627118644
"161" 15 "aI" "M" 60 625.508474576271 1553.98305084746 2492.06779661017 3323.83050847458
"162" 15 "aI" "M" 70 562.067796610169 1701.89830508475 2469.47457627119 3304.30508474576
"163" 15 "aI" "M" 80 455.271186440678 1797.77966101695 2431.30508474576 3272.03389830508
"164" 15 "aI" "M" 90 402.474576271186 1795.91525423729 2449.15254237288 3422.01694915254
"165" 15 "aI" "M" 100 308 1630 2283 3412
"166" 16 "aI" "M" 0 522 1137 2477 3286
"167" 16 "aI" "M" 10 630.898305084746 1144.32203389831 2505.27118644068 3312.84745762712
"168" 16 "aI" "M" 20 696.389830508475 1190.25423728814 2532.86440677966 3264.96610169492
"169" 16 "aI" "M" 30 712.338983050847 1237.5593220339 2487.16949152542 3102.47457627119
"170" 16 "aI" "M" 40 701.457627118644 1298.35593220339 2426.25423728814 3134.71186440678
"171" 16 "aI" "M" 50 662.64406779661 1363.16949152542 2346.77966101695 3219.18644067797
"172" 16 "aI" "M" 60 629.237288135593 1499.45762711864 2337.89830508475 3398.50847457627
"173" 16 "aI" "M" 70 559.050847457627 1653.22033898305 2336.01694915254 3329.16949152542
"174" 16 "aI" "M" 80 502.813559322034 1798.30508474576 2326.52542372881 3184.27118644068
"175" 16 "aI" "M" 90 449.389830508475 1941.8813559322 2349.62711864407 3150.83050847458
"176" 16 "aI" "M" 100 406 1920 2350 3416
"177" 17 "aI" "M" 0 789 1494 2289 3309
"178" 17 "aI" "M" 10 701.694915254237 1463.77966101695 2242.38983050847 3387.10169491525
"179" 17 "aI" "M" 20 678.372881355932 1503.06779661017 2242.30508474576 3405.91525423729
"180" 17 "aI" "M" 30 649.237288135593 1583.79661016949 2253.96610169492 3371.16949152542
"181" 17 "aI" "M" 40 575.406779661017 1633.30508474576 2262.35593220339 3295
"182" 17 "aI" "M" 50 538.627118644068 1722.23728813559 2250.22033898305 3038.77966101695
"183" 17 "aI" "M" 60 517.237288135593 1808.30508474576 2281.57627118644 3006.57627118644
"184" 17 "aI" "M" 70 478.406779661017 1855.57627118644 2318.13559322034 2786.06779661017
"185" 17 "aI" "M" 80 410.101694915254 1864.86440677966 2356.37288135593 3584.4406779661
"186" 17 "aI" "M" 90 376.305084745763 1839.01694915254 2346.83050847458 3599.84745762712
"187" 17 "aI" "M" 100 305 1806 2302 3611
"188" 18 "aI" "M" 0 377 1265 2642 3653
"189" 18 "aI" "M" 10 482.830508474576 1297.10169491525 2638.79661016949 3507.98305084746
"190" 18 "aI" "M" 20 547.525423728814 1296.69491525424 2603.86440677966 3516.32203389831
"191" 18 "aI" "M" 30 586.35593220339 1317.23728813559 2501.96610169492 3480.57627118644
"192" 18 "aI" "M" 40 615.830508474576 1373.47457627119 2498.10169491525 3474.06779661017
"193" 18 "aI" "M" 50 629.694915254237 1395.67796610169 2492.61016949153 3452.23728813559
"194" 18 "aI" "M" 60 618.169491525424 1418.76271186441 2508.77966101695 3460.77966101695
"195" 18 "aI" "M" 70 574.152542372881 1487.10169491525 2531.32203389831 3460.54237288136
"196" 18 "aI" "M" 80 538.983050847458 1539.52542372881 2535.35593220339 3420.1186440678
"197" 18 "aI" "M" 90 522.305084745763 1547.67796610169 2533.10169491525 3385.49152542373
"198" 18 "aI" "M" 100 490 1527 2519 3291
"199" 19 "aU" "M" 0 718 1297 2495 3538
"200" 19 "aU" "M" 10 722.64406779661 1223.74576271186 2584.08474576271 3550.33898305085
"201" 19 "aU" "M" 20 662.627118644068 1145.33898305085 2719.32203389831 3535.4406779661
"202" 19 "aU" "M" 30 637.406779661017 1090.42372881356 2755.23728813559 3562.98305084746
"203" 19 "aU" "M" 40 575.35593220339 977.254237288136 2809.08474576271 3359.30508474576
"204" 19 "aU" "M" 50 521.593220338983 898.864406779661 2909.84745762712 3393.22033898305
"205" 19 "aU" "M" 60 490.084745762712 823.898305084746 2864.32203389831 2918.91525423729
"206" 19 "aU" "M" 70 464.915254237288 829.593220338983 2620.83050847458 3170.67796610169
"207" 19 "aU" "M" 80 448.694915254237 874.796610169491 2390.81355932203 2897.23728813559
"208" 19 "aU" "M" 90 428.847457627119 982.898305084746 2779.74576271186 3385.47457627119
"209" 19 "aU" "M" 100 293 1094 2628 3523
"210" 20 "aU" "M" 0 560 1059 2466 3010
"211" 20 "aU" "M" 10 582.067796610169 1052.27118644068 2459.42372881356 3014.15254237288
"212" 20 "aU" "M" 20 602.847457627119 1041.64406779661 2474.16949152542 3019.28813559322
"213" 20 "aU" "M" 30 599.423728813559 1032.69491525424 2498.8813559322 3085.62711864407
"214" 20 "aU" "M" 40 597.694915254237 1028.10169491525 2500.89830508475 3135.42372881356
"215" 20 "aU" "M" 50 591.237288135593 1028.37288135593 2505.64406779661 3148.62711864407
"216" 20 "aU" "M" 60 576.254237288136 1013.79661016949 2523.54237288136 3140.5593220339
"217" 20 "aU" "M" 70 540.661016949153 979.050847457627 2464.72881355932 3109.37288135593
"218" 20 "aU" "M" 80 492.101694915254 949.35593220339 2431.10169491525 3059.01694915254
"219" 20 "aU" "M" 90 452.237288135593 904.745762711864 2465.20338983051 3060.08474576271
"220" 20 "aU" "M" 100 423 885 2464 3048
"221" 21 "aI" "M" 0 516 1079 1910 2740
"222" 21 "aI" "M" 10 569.627118644068 1210 2035.4406779661 2696.23728813559
"223" 21 "aI" "M" 20 597.610169491525 1296.15254237288 2341.18644067797 3191.35593220339
"224" 21 "aI" "M" 30 608.966101694915 1325.32203389831 2336.54237288136 3494.40677966102
"225" 21 "aI" "M" 40 612.033898305085 1382.69491525424 2330.25423728814 3522.1186440678
