"Sample" "Diphtong" "Speaker" "Percentage...." "T1" "T2" "T3" "T4"
"1086" 99 "aI" "F" 70 587.203389830508 2120.79661016949 3041.71186440678 4240.50847457627
"1087" 99 "aI" "F" 80 554.830508474576 2221.62711864407 3005.66101694915 4208.71186440678
"1088" 99 "aI" "F" 90 417.847457627118 2279.30508474576 3125.13559322034 4335.27118644068
"1089" 99 "aI" "F" 100 344 2209 3061 4393
"1090" 100 "aU" "F" 0 340 1518 2927 3786
"1091" 100 "aU" "F" 10 440 1365.15254237288 2963.30508474576 4074.30508474576
"1092" 100 "aU" "F" 20 455.016949152542 1195.93220338983 2914.40677966102 3952.25423728814
"1093" 100 "aU" "F" 30 454.881355932203 1104.81355932203 2915.94915254237 3899.25423728814
"1094" 100 "aU" "F" 40 483.610169491525 1160.69491525424 2977.83050847458 3980.84745762712
"1095" 100 "aU" "F" 50 377.593220338983 1039.30508474576 2930.91525423729 3911.4406779661
